iter	MultiClass
180	1.808329303
181	1.80828793
182	1.808197968
183	1.808046978
184	1.807883086
185	1.80770612
186	1.807633817
187	1.807567767
188	1.807338762
189	1.807252929
190	1.807186807
191	1.806916127
192	1.80674823
193	1.806592607
194	1.806501777
195	1.806354441
196	1.806207247
197	1.806031775
198	1.806006127
199	1.805957746
200	1.805840017
201	1.805632323
202	1.805553715
203	1.805341256
204	1.805221327
205	1.805063087
206	1.804901903
207	1.80484618
208	1.804785423
209	1.804727628
210	1.804592885
211	1.804474683
212	1.804396231
213	1.804233641
214	1.804159715
215	1.804135875
216	1.804005691
217	1.803907085
218	1.803745905
219	1.803689052
220	1.803592288
221	1.803417534
222	1.803297509
223	1.803190948
224	1.803100224
225	1.803053508
226	1.802830817
227	1.802630785
228	1.802559412
229	1.802476415
230	1.802358985
231	1.802279574
232	1.802187852
233	1.802100218
234	1.801967963
235	1.801826363
236	1.801657202
237	1.801550818
238	1.801439537
239	1.801361807
240	1.801267477
241	1.801163395
242	1.801044142
243	1.801017483
244	1.800921878
245	1.800871188
246	1.800760791
247	1.800640047
248	1.800505674
249	1.800337831
250	1.800153514
251	1.800045528
252	1.799846942
253	1.799717582
254	1.799644409
255	1.799491418
256	1.799412897
257	1.799403877
258	1.799304259
259	1.799155941
260	1.799084475
261	1.798945424
262	1.798854087
263	1.798776309
264	1.798677695
265	1.79860546
266	1.798533823
267	1.798429499
268	1.798270694
269	1.798160241
270	1.798096077
271	1.797987651
272	1.797870336
273	1.797799499
274	1.79768024
275	1.797575412
276	1.797492611
277	1.797432782
278	1.797367167
279	1.797276284
280	1.797171399
281	1.797090138
282	1.797039281
283	1.796976557
284	1.796952463
285	1.796859314
286	1.796794446
287	1.796721425
288	1.796572262
289	1.796441934
290	1.796353962
291	1.796323613
292	1.796161744
293	1.79605724
294	1.796005644
295	1.79588928
296	1.795863987
297	1.795774726
298	1.795615487
299	1.795511643
300	1.795429516
301	1.795352106
302	1.795240185
303	1.795115464
304	1.794991669
305	1.794902097
306	1.794837848
307	1.794734087
308	1.794577459
309	1.794513898
310	1.794427667
311	1.794354399
312	1.794269795
313	1.794155245
314	1.79407604
315	1.793993487
316	1.79391127
317	1.793808355
318	1.79371938
319	1.793652534
320	1.793574613
321	1.793537174
322	1.793414905
323	1.793256032
324	1.793099239
325	1.792924672
326	1.792877632
327	1.792768972
328	1.792650948
329	1.792539039
330	1.792434375
331	1.792281001
332	1.792217931
333	1.792095487
334	1.792011249
335	1.791944483
336	1.791881621
337	1.791823271
338	1.791745413
339	1.791624368
340	1.791555667
341	1.791441744
342	1.791377365
343	1.791325587
344	1.791267905
345	1.791149513
346	1.791002392
347	1.790958512
348	1.790873426
349	1.790801119
350	1.790721948
351	1.790639858
352	1.790558181
353	1.790525167
354	1.790397992
355	1.79030223
356	1.790180097
357	1.790110866
358	1.789987639
359	1.789892193
360	1.78982882
361	1.789742248
362	1.789692828
363	1.789590249
364	1.789525452
365	1.789448591
366	1.789314369
367	1.789250719
368	1.789196337
369	1.789130106
370	1.789061088
371	1.789028379
372	1.788940561
373	1.788832813
374	1.788769653
375	1.78873612
376	1.788676216
377	1.788596586
378	1.78848581
379	1.788433816
380	1.788356463
381	1.788245009
382	1.78814132
383	1.788033099
384	1.787981674
385	1.787893125
386	1.787823526
387	1.787755043
388	1.787661614
389	1.787612324
390	1.787535371
391	1.787426854
392	1.78735062
393	1.787269369
394	1.787230354
395	1.787187209
396	1.787161546
397	1.787063394
398	1.787009904
399	1.78689686
400	1.786855344
401	1.786757629
402	1.786691166
403	1.786624485
404	1.786524312
405	1.786449119
406	1.786321411
407	1.786242771
408	1.78618967
409	1.786140032
410	1.786092253
411	1.786026469
412	1.785983565
413	1.785860096
414	1.785774638
415	1.785694687
416	1.785622671
417	1.785540734
418	1.785443792
419	1.785360539
420	1.785311122
421	1.785177957
422	1.785132407
423	1.785060079
424	1.784936799
425	1.784842656
426	1.784788876
427	1.784715595
428	1.784625033
429	1.784522695
430	1.784437473
431	1.784375723
432	1.784304267
433	1.784193616
434	1.784104884
435	1.78402212
436	1.783943468
437	1.783901096
438	1.783829836
439	1.783742551
440	1.783667529
441	1.783642128
442	1.783522226
443	1.783463092
444	1.783387322
445	1.783286993
446	1.783174276
447	1.783095684
448	1.783029329
449	1.782967566
450	1.782906969
451	1.782811335
452	1.782684219
453	1.782644036
454	1.782590633
455	1.782480192
456	1.782411121
457	1.782307827
458	1.782235082
459	1.782141691
460	1.782089708
461	1.78199682
462	1.781950119
463	1.781879433
464	1.781800492
465	1.781730019
466	1.781678131
467	1.781630111
468	1.781562346
469	1.781519974
470	1.781451687
471	1.781377738
472	1.781257602
473	1.781195385
474	1.781154815
475	1.781116675
476	1.781071596
477	1.781028019
478	1.780930153
479	1.7808674
480	1.780780617
481	1.780738042
482	1.780637398
483	1.780534383
484	1.780458593
485	1.780384433
486	1.780288508
487	1.780246697
488	1.78017307
489	1.780126678
490	1.78007902
491	1.780007858
492	1.779879747
493	1.779800652
494	1.779698315
495	1.779628047
496	1.779563678
497	1.779486312
498	1.779423174
499	1.779375781
500	1.779346895
501	1.779275668
502	1.779221119
503	1.779159564
504	1.779053642
505	1.778994503
506	1.778931551
507	1.778884165
508	1.778844349
509	1.778743363
510	1.778701266
511	1.778642697
512	1.778592665
513	1.778550473
514	1.778474091
515	1.778405407
516	1.778324784
517	1.778272009
518	1.778214234
519	1.778133794
520	1.778067149
521	1.777971337
522	1.777856595
523	1.77779337
524	1.77769002
525	1.777631751
526	1.777540308
527	1.777483166
528	1.777421338
529	1.777365147
530	1.777311272
531	1.777292664
532	1.777237218
533	1.777174547
534	1.777117943
535	1.777044934
536	1.77694271
537	1.776884778
538	1.77678583
539	1.776730437
540	1.7766492
541	1.776580321
542	1.776541592
543	1.776436542
544	1.77640024
545	1.776350819
546	1.776243242
547	1.77618896
548	1.776157162
549	1.776096503
550	1.775976774
551	1.77593464
552	1.775927643
553	1.775859983
554	1.775820703
555	1.775737558
556	1.775656053
557	1.775611924
558	1.775567098
559	1.775519969
560	1.775469696
561	1.775432446
562	1.77538063
563	1.775328585
564	1.775272003
565	1.775213577
566	1.775130621
567	1.775024034
568	1.774945957
569	1.774886522
570	1.774810562
571	1.774780141
572	1.774721566
573	1.774662216
574	1.774610216
575	1.774564367
576	1.774490826
577	1.774434916
578	1.774375194
579	1.774295919
580	1.774231334
581	1.774146622
582	1.774073313
583	1.774029359
584	1.773975402
585	1.773915169
586	1.773823283
587	1.773784461
588	1.7737135
589	1.773637569
590	1.77358361
591	1.773503362
592	1.773464879
593	1.773418536
594	1.773369381
595	1.773330285
596	1.773272087
597	1.773216021
598	1.773131125
599	1.773090877
600	1.773059458
601	1.773013852
602	1.772922249
603	1.77287002
604	1.772812901
605	1.772753625
606	1.772697606
607	1.772629527
608	1.772541032
609	1.772482448
610	1.77240971
611	1.77236727
612	1.772286311
613	1.7721915
614	1.772147997
615	1.772082299
616	1.772023523
617	1.771974733
618	1.771910835
619	1.771851562
620	1.77180388
621	1.771733959
622	1.771687636
623	1.771634594
624	1.771595447
625	1.771536099
626	1.771475824
627	1.771420686
628	1.771358736
629	1.771315174
630	1.771230366
631	1.771176548
632	1.771073439
633	1.770982396
634	1.770934024
635	1.770832646
636	1.770744452
637	1.770663904
638	1.770616777
639	1.770575086
640	1.770521569
641	1.770478776
642	1.77043738
643	1.770385497
644	1.770309318
645	1.770245344
646	1.77019928
647	1.770156963
648	1.770097515
649	1.77002688
650	1.769960222
651	1.769916945
652	1.769866448
653	1.769783358
654	1.769722003
655	1.769693675
656	1.769629465
657	1.769569624
658	1.769516588
659	1.769452781
660	1.769416107
661	1.769360507
662	1.769314343
663	1.769250291
664	1.769195787
665	1.769148547
666	1.769106294
667	1.769072367
668	1.76903083
669	1.768981725
670	1.768906842
671	1.76885723
672	1.768801534
673	1.768750297
674	1.768690949
675	1.768649667
676	1.768602183
677	1.768553734
678	1.7685298
679	1.768465111
680	1.768413046
681	1.768367716
682	1.768325752
683	1.768281452
684	1.768241218
685	1.768169812
686	1.768108045
687	1.768029035
688	1.767968003
689	1.767925819
690	1.767867004
691	1.767801958
692	1.767736451
693	1.767658175
694	1.767622971
695	1.767578112
696	1.767534827
697	1.767485377
698	1.767441756
699	1.767413735
700	1.767369278
701	1.767304261
702	1.767264737
703	1.767218024
704	1.767136965
705	1.767077768
706	1.767036249
707	1.766982867
708	1.766917857
709	1.766866118
710	1.766819803
711	1.766765746
712	1.766711223
713	1.76667344
714	1.766605952
715	1.766548666
716	1.766495297
717	1.766458121
718	1.76642256
719	1.7663539
720	1.766281297
721	1.766236267
722	1.766192302
723	1.766154692
724	1.766093729
725	1.766041776
726	1.765987114
727	1.765918788
728	1.765877657
729	1.765800291
730	1.765751772
731	1.765734201
732	1.765687301
733	1.765646927
734	1.765607952
735	1.765547714
736	1.765480038
737	1.765447032
738	1.765403937
739	1.76535467
740	1.765273518
741	1.765197025
742	1.765148406
743	1.765094578
744	1.765018295
745	1.764946558
746	1.764901669
747	1.764873732
748	1.764832851
749	1.76480218
750	1.764763302
751	1.764699472
752	1.764641141
753	1.764589293
754	1.764509007
755	1.764468419
756	1.764440453
757	1.764382925
758	1.764311204
759	1.764255863
760	1.764176378
761	1.764121541
762	1.764076511
763	1.764014284
764	1.763970108
765	1.763937515
766	1.763895351
767	1.763856376
768	1.76381301
769	1.763745569
770	1.763700394
771	1.763662621
772	1.763627123
773	1.763563922
774	1.76349636
775	1.763453449
776	1.763393847
777	1.763338762
778	1.763299043
779	1.763257895
780	1.763183274
781	1.763112031
782	1.7630787
783	1.763037975
784	1.762978679
785	1.762913263
786	1.762877801
787	1.762831376
788	1.762794912
789	1.762754081
790	1.762697456
791	1.762664064
792	1.762619198
793	1.762585614
794	1.762507076
795	1.762474211
796	1.76243533
797	1.762397195
798	1.76236656
799	1.762339761
800	1.762297855
801	1.762266178
802	1.762218712
803	1.76216109
804	1.762132481
805	1.762095241
806	1.762054818
807	1.761994454
808	1.761960803
809	1.76192726
810	1.761896596
811	1.761856307
812	1.761796877
813	1.761760444
814	1.761726297
815	1.761675226
816	1.7616383
817	1.761607201
818	1.761552231
819	1.761507149
820	1.761463938
821	1.761423568
822	1.761381439
823	1.761340021
824	1.761292922
825	1.761241192
826	1.761189652
827	1.761105479
828	1.761070063
829	1.761031662
830	1.760992909
831	1.760923634
832	1.760886934
833	1.760843065
834	1.760805265
835	1.76075283
836	1.760675928
837	1.760628421
838	1.760598602
839	1.760531827
840	1.760479145
841	1.760452222
842	1.760403141
843	1.760343926
844	1.760304022
845	1.760228004
846	1.76018427
847	1.760141003
848	1.760105585
849	1.76002191
850	1.759971618
851	1.759929575
852	1.759877865
853	1.759805081
854	1.759722597
855	1.759685113
856	1.759610456
857	1.759581815
858	1.759543035
859	1.759506603
860	1.759424648
861	1.759355907
862	1.759291903
863	1.759257108
864	1.759230746
865	1.759171136
866	1.759095875
867	1.759054053
868	1.759035095
869	1.758993481
870	1.758947438
871	1.758892451
872	1.75881663
873	1.758779268
874	1.758720806
875	1.758670612
876	1.758596503
877	1.758556076
878	1.758501395
879	1.758452068
880	1.758386118
881	1.758346386
882	1.758312487
883	1.75827324
884	1.758230518
885	1.758188547
886	1.758132625
887	1.758093016
888	1.758037166
889	1.757988473
890	1.757949544
891	1.757919978
892	1.757882579
893	1.757823323
894	1.757773707
895	1.757751872
896	1.757716315
897	1.757675051
898	1.757618649
899	1.757570271
900	1.757525332
901	1.757465651
902	1.757423384
903	1.757395907
904	1.757364912
905	1.757345972
906	1.757318456
907	1.757268055
908	1.757234964
909	1.75718517
910	1.757160712
911	1.757102409
912	1.757029969
913	1.756971803
914	1.756941648
915	1.756886562
916	1.756826946
917	1.756784756
918	1.75676034
919	1.756722814
920	1.756657431
921	1.756620513
922	1.756576996
923	1.756511818
924	1.756491212
925	1.756440481
926	1.756375454
927	1.75632874
928	1.75630647
929	1.756268199
930	1.756208173
931	1.756164246
932	1.756110093
933	1.756097726
934	1.756062396
935	1.756030869
936	1.75600145
937	1.755965204
938	1.755910282
939	1.755858084
940	1.755802793
941	1.755771189
942	1.755728605
943	1.755706107
944	1.755653064
945	1.755619381
946	1.755575848
947	1.755520001
948	1.755465237
949	1.755426034
950	1.755381433
951	1.755353261
952	1.755308557
953	1.755252107
954	1.755223872
955	1.755177366
956	1.755138206
957	1.755076159
958	1.755047874
959	1.754997909
960	1.754971378
961	1.754921676
962	1.754888202
963	1.754846677
964	1.754818901
965	1.754781079
966	1.754741386
967	1.754712581
968	1.754686077
969	1.75463433
970	1.754555012
971	1.754493943
972	1.75444726
973	1.754400159
974	1.754368212
975	1.754342164
976	1.754299627
977	1.754254611
978	1.754212438
979	1.754177465
980	1.754135217
981	1.754074255
982	1.754008932
983	1.753989
984	1.753927606
985	1.753891418
986	1.753835211
987	1.753796229
988	1.753770175
989	1.753708997
990	1.753643128
991	1.753618304
992	1.753593375
993	1.753568214
994	1.753529399
995	1.753492141
996	1.753453248
997	1.753408558
998	1.753363185
999	1.753327653
