iter	RMSE
384	852.2665124
385	851.9623503
386	851.6386953
387	851.3490909
388	851.0829694
389	850.6967102
390	850.2820333
391	849.9114309
392	849.5155507
393	849.1625627
394	848.8395
395	848.435444
396	848.1190249
397	847.8207869
398	847.4357342
399	847.0866548
400	846.7362868
401	846.3198676
402	846.0794054
403	845.7982304
404	845.4736678
405	845.2406387
406	844.9822624
407	844.5551543
408	844.244738
409	843.9552043
410	843.6247858
411	843.3480491
412	843.1278881
413	842.8639042
414	842.566656
415	842.2703652
416	841.9563069
417	841.6694901
418	841.3908816
419	841.1350973
420	840.8320419
421	840.5998476
422	840.4084571
423	840.1217198
424	839.84451
425	839.5898057
426	839.3299176
427	839.0927192
428	838.7727091
429	838.5477986
430	838.2949332
431	838.0523647
432	837.7841198
433	837.4344895
434	837.1867521
435	836.9647956
436	836.7494109
437	836.5063054
438	836.3293348
439	836.1322673
440	835.9244138
441	835.749459
442	835.589308
443	835.3648269
444	835.0886175
445	834.7681987
446	834.4946914
447	834.2410499
448	834.0543838
449	833.7999599
450	833.63899
451	833.4173927
452	833.2183606
453	832.9567602
454	832.7464265
455	832.586476
456	832.4252205
457	832.1045259
458	831.9187144
459	831.647888
460	831.4728184
461	831.270074
462	831.0750602
463	830.8750317
464	830.5836997
465	830.3639371
466	830.1356956
467	829.9276571
468	829.7654773
469	829.6177043
470	829.4610604
471	829.2750545
472	829.0447545
473	828.8586284
474	828.6414773
475	828.5051191
476	828.371869
477	828.1988753
478	828.0109882
479	827.7699912
480	827.6267245
481	827.481323
482	827.3588317
483	827.162853
484	827.0393968
485	826.925528
486	826.6840585
487	826.510108
488	826.3271324
489	826.1404334
490	825.9845795
491	825.7995054
492	825.6150725
493	825.4942213
494	825.3537644
495	825.2121094
496	824.9824702
497	824.8302784
498	824.6931233
499	824.5741401
500	824.392822
501	824.1747539
502	824.0589243
503	823.8587558
504	823.6600292
505	823.5460464
506	823.4335548
507	823.266567
508	823.1332959
509	822.9332055
510	822.8156479
511	822.6478201
512	822.5231301
513	822.3576853
514	822.1529552
515	822.0457224
516	821.8210917
517	821.5923996
518	821.4596611
519	821.3007387
520	821.1947732
521	820.9928739
522	820.8226302
523	820.6277286
524	820.4438142
525	820.221837
526	820.0311537
527	819.9323456
528	819.7960651
529	819.6966656
530	819.5973739
531	819.5007006
532	819.3164853
533	819.1572965
534	819.0411397
535	818.9394924
536	818.732351
537	818.5761875
538	818.4146959
539	818.2165076
540	818.1018357
541	818.0153445
542	817.9138417
543	817.7115914
544	817.5641012
545	817.4796358
546	817.3895376
547	817.3035797
548	817.1137986
549	816.9775559
550	816.8478913
551	816.7187736
552	816.5964177
553	816.4521962
554	816.3482487
555	816.2517472
556	816.1305106
557	815.9306418
558	815.8445239
559	815.7422766
560	815.6451931
561	815.4735108
562	815.2864563
563	815.1319996
564	814.9664206
565	814.8907556
566	814.8059843
567	814.6909311
568	814.587304
569	814.4391297
570	814.2642238
571	814.0894826
572	813.9549403
573	813.8075175
574	813.6380015
575	813.4572615
576	813.3629498
577	813.1992495
578	813.1160622
579	813.0357649
580	812.9372547
581	812.7752474
582	812.6559211
583	812.5251872
584	812.3910755
585	812.2090989
586	812.0667786
587	811.9493188
588	811.8305793
589	811.7597279
590	811.645824
591	811.5155528
592	811.3615736
593	811.2313983
594	811.0630163
595	810.9292609
596	810.8485478
597	810.7671302
598	810.6468205
599	810.512642
600	810.4362687
601	810.3329302
602	810.2084023
603	810.1391805
604	810.055035
605	809.9321392
606	809.8123877
607	809.7508959
608	809.6753984
609	809.5671321
610	809.4904643
611	809.39257
612	809.2845653
613	809.1552193
614	809.0333519
615	808.9732162
616	808.8353112
617	808.7091933
618	808.6433248
619	808.4847326
620	808.392876
621	808.3122316
622	808.2476118
623	808.1801718
624	808.0460634
625	807.976144
626	807.9059748
627	807.8110312
628	807.7191009
629	807.6177841
630	807.5186028
631	807.4522945
632	807.3747512
633	807.2486553
634	807.2044199
635	807.0967199
636	806.9380453
637	806.8257442
638	806.7375322
639	806.6597113
640	806.5446515
641	806.4630744
642	806.364531
643	806.2544903
644	806.1607383
645	806.014122
646	805.9156247
647	805.8334491
648	805.7746146
649	805.7077331
650	805.5952861
651	805.5000402
652	805.411077
653	805.3439129
654	805.2429799
655	805.1752751
656	805.0964418
657	805.0157834
658	804.9520044
659	804.8609614
660	804.770666
661	804.6899679
662	804.54079
663	804.4811237
664	804.3875477
665	804.314612
666	804.246159
667	804.1854332
668	804.0466691
669	803.9611736
670	803.9093826
671	803.8522906
672	803.7161909
673	803.6354919
674	803.5471282
675	803.4618759
676	803.3283061
677	803.2433347
678	803.1382103
679	803.0691431
680	802.9726318
681	802.8282432
682	802.7619154
683	802.6407133
684	802.602474
685	802.5317245
686	802.4563249
687	802.3457196
688	802.2726681
689	802.1990619
690	802.1265997
691	802.0683874
692	801.9679786
693	801.8759808
694	801.7511724
695	801.6912125
696	801.6391387
697	801.5833038
698	801.5181656
699	801.4662578
700	801.3361384
701	801.280169
702	801.2062541
703	801.1546518
704	801.1069899
705	801.0400301
706	800.9688126
707	800.9081371
708	800.8602677
709	800.8171667
710	800.6963004
711	800.59844
712	800.5492827
713	800.4859011
714	800.4054377
715	800.2878921
716	800.1825044
717	800.1152311
718	800.0130536
719	799.9255912
720	799.8749915
721	799.8246421
722	799.734581
723	799.6575997
724	799.5898098
725	799.5201656
726	799.4668237
727	799.3715601
728	799.307235
729	799.2532974
730	799.170235
731	799.1195134
732	799.0627839
733	799.0080781
734	798.9557253
735	798.8695767
736	798.807753
737	798.7017
738	798.6317905
739	798.5789516
740	798.5365162
741	798.4995997
742	798.4164075
743	798.2992204
744	798.2609481
745	798.2111195
746	798.168209
747	798.1075727
748	798.0535913
749	798.0254993
750	797.9105969
751	797.8668031
752	797.8069567
753	797.7431132
754	797.6416906
755	797.582791
756	797.5737266
757	797.510181
758	797.4729276
759	797.4152549
760	797.3146357
761	797.265842
762	797.2317087
763	797.1837157
764	797.1519259
765	797.0924232
766	797.0149298
767	796.9242212
768	796.8375232
769	796.79869
770	796.7135372
771	796.6436738
772	796.5887485
773	796.5479493
774	796.5100293
775	796.4764177
776	796.4222769
777	796.3626902
778	796.3119901
779	796.2704008
780	796.1615623
781	796.1007556
782	796.0908814
783	796.048025
784	796.01168
785	795.9568851
786	795.8991799
787	795.8597813
788	795.816255
789	795.7933855
790	795.7631377
791	795.6988633
792	795.6026834
793	795.5527182
794	795.5094608
795	795.4505725
796	795.4038625
797	795.3282347
798	795.2589348
799	795.1711058
800	795.0770599
801	795.0248856
802	794.9754609
803	794.91405
804	794.8662009
805	794.8253586
806	794.7494011
807	794.7036388
808	794.6755198
809	794.6309732
810	794.5798861
811	794.518545
812	794.4320907
813	794.363225
814	794.3347011
815	794.3089142
816	794.2982844
817	794.2417603
818	794.200925
819	794.1388876
820	794.0431057
821	793.9866782
822	793.9021675
823	793.8657063
824	793.822055
825	793.7662557
826	793.7233903
827	793.661718
828	793.6113759
829	793.5577534
830	793.5154517
831	793.4812197
832	793.4385633
833	793.383818
834	793.3448252
835	793.2705803
836	793.2634465
837	793.1939467
838	793.1297645
839	793.0830305
840	793.056078
841	792.9845385
842	792.9594585
843	792.8921227
844	792.849819
845	792.802531
846	792.7401521
847	792.6539302
848	792.5865378
849	792.5510692
850	792.5070145
851	792.4669971
852	792.4327352
853	792.3957139
854	792.333077
855	792.2747794
856	792.2513102
857	792.2135108
858	792.1729964
859	792.1336381
860	792.1264611
861	792.0794891
862	792.0376455
863	791.9705216
864	791.8984739
865	791.8574445
866	791.8187413
867	791.7927123
868	791.7598512
869	791.7087888
870	791.6792559
871	791.6453819
872	791.5669815
873	791.4913173
874	791.4560331
875	791.4286922
876	791.3901971
877	791.382534
878	791.3444913
879	791.2702706
880	791.2384991
881	791.2099771
882	791.2024137
883	791.1638864
884	791.1054537
885	791.0631584
886	791.0137262
887	790.9799436
888	790.9300709
889	790.8692316
890	790.8360101
891	790.7814968
892	790.7185482
893	790.6763206
894	790.5993317
895	790.550656
896	790.5359625
897	790.4608179
898	790.3739533
899	790.291349
900	790.2125299
901	790.1738719
902	790.1252218
903	790.0935433
904	790.059633
905	790.0153408
906	789.9413369
907	789.9064064
908	789.850004
909	789.8281099
910	789.7928202
911	789.7643446
912	789.7263782
913	789.6984954
914	789.6410281
915	789.5794628
916	789.5267605
917	789.4614833
918	789.4370871
919	789.4123301
920	789.3578467
921	789.3250985
922	789.2890078
923	789.2523166
924	789.1804896
925	789.1731165
926	789.148575
927	789.115784
928	789.071088
929	789.0430239
930	789.0070429
931	788.9787787
932	788.9394947
933	788.8862611
934	788.8465048
935	788.7911493
936	788.7476795
937	788.6846995
938	788.6466683
939	788.6095011
940	788.5549333
941	788.511377
942	788.473572
943	788.4364758
944	788.4090948
945	788.3550453
946	788.3282415
947	788.302086
948	788.2354559
949	788.2009877
950	788.1507998
951	788.1414846
952	788.1087656
953	788.0926206
954	788.0564821
955	788.0375008
956	788.0023579
957	787.9682596
958	787.941587
959	787.8926177
960	787.8498376
961	787.8278885
962	787.7782286
963	787.7717418
964	787.7036934
965	787.6501288
966	787.6246802
967	787.6006852
968	787.5666664
969	787.5339235
970	787.5108814
971	787.488965
972	787.4538912
973	787.4046179
974	787.3365779
975	787.3004307
976	787.2513747
977	787.1860822
978	787.1197049
979	787.0873043
980	787.0615347
981	787.0197729
982	786.9962549
983	786.9539318
984	786.8942205
985	786.8628261
986	786.8302159
987	786.797257
988	786.7308325
989	786.6811565
990	786.6510956
991	786.6043105
992	786.5517856
993	786.4882323
994	786.4671016
995	786.461067
996	786.3958477
997	786.3708025
998	786.3651308
999	786.3230279
3
999	1111.890575
15

3792
