iter	Passed	Remaining
4404	10135	148844405	10158	148644406	10181	148344407	10210	148144408	10235	147944409	10259	147644410	10283	147344411	10304	147044412	10327	146744413	10351	146544414	10376	146274415	10400	146004416	10424	145744417	10446	145454418	10470	145184419	10495	144934420	10515	144624421	10541	144374422	10564	144104423	10586	143824424	10608	143534425	10630	143234426	10657	143004427	10678	142714428	10699	142404429	10719	142104430	10739	141784431	10763	14152432	10744	14069
4433	10809	14097434	10794	14020
435	10820	13997
436	10846	13974
437	10870	13947
438	10893	13921
439	10918	13895
440	10939	13866
441	10965	13843
442	10987	13815
443	11010	13787
444	11031	13758
445	11056	13733
446	11078	13705
447	11105	13683
448	11125	13652
449	11146	13624
450	11174	13602
451	11197	13576
452	11217	13545
453	11243	13521
454	11264	13492
455	11285	13463
4456	11346	13481457	11330	13408
458	11354	13383
459	11383	13362
460	11407	13337
461	11431	13312
462	11455	13285
463	11475	13256
464	11498	13229
465	11522	13203
466	11547	13179
467	11569	13151
468	11589	13121
469	11612	13094
470	11635	13067
471	11661	13044
472	11683	13017
473	11704	12988
474	11726	12960
475	11746	12930
476	11767	12902
477	11792	12878
478	11813	12848
479	11843	12830
480	11865	12802
481	11892	12780
482	11913	12752
483	11936	12725
484	11965	12706
485	11990	12681
486	12012	12654
487	12033	12625
488	12059	12602
489	12082	12575
490	12107	12551
491	12128	12522
492	12149	12494
493	12173	12469
494	12195	12441
495	12218	12415
496	12241	12389
497	12268	12366
498	12289	12339
499	12312	12312
500	12337	12287
501	12363	12264
502	12387	12239
503	12410	12213
504	12430	12184
505	12454	12158
506	12476	12132
507	12500	12106
508	12523	12080
509	12545	12053
510	12567	12026
511	12588	11998
512	12612	11973
513	12634	11946
514	12655	11917
515	12677	11891
516	12699	11864
517	12721	11837
518	12742	11809
519	12763	11781
520	12786	11755
521	12811	11731
522	12834	11705
523	12860	11682
524	12884	11657
525	12905	11629
526	12926	11602
527	12949	11575
528	12971	11549
529	12996	11524
530	13019	11499
531	13043	11474
532	13065	11447
533	13089	11422
534	13115	11399
535	13137	11372
536	13158	11345
537	13180	11318
538	13200	11290
539	13222	11263
540	13246	11238
541	13269	11212
542	13293	11188
543	13314	111605544	13337	11134
545	13358	111075546	13381	110825547	13404	110555548	13428	11031
549	13453	11007
550	13479	10984
551	13505	10960
552	13531	10938
553	13553	10911
554	13576	10885
555	13601	10861
556	13625	10836
557	13649	10812
558	13677	10790
559	13699	10763
560	13720	10736
561	13744	10712
562	13766	10685
563	13788	10659
564	13812	10634
565	13837	10610
566	13859	10584
567	13881	10557
568	13904	10531
569	13927	10506
570	13951	10482
571	13975	10457
572	13999	10432
573	14023	10407
5574	14084	104105575	14109	103865576	14132	103605577	14159	103385578	14183	103125579	14205	102865580	14228	102615581	14252	102365582	14278	102125583	14299	101855584	14322	101605585	14341	101325586	14362	101055587	14383	100785588	14406	100525589	14430	100259590	14456	100591591	14479	99592592	14502	99593593	14527	99594594	14548	99595595	14569	98596596	14591	98597597	14616	98598598	14640	98599599	14664	97600	14648	9725
601	14672	9700
602	14694	9674
603	14718	9649
