iter	Logloss
0	0.6886316847
1	0.6838051217
2	0.6803109466
3	0.6749401669
4	0.6713404988
5	0.6667371155
6	0.6621294079
7	0.6603583129
8	0.6588854214
9	0.6548771361
10	0.6513280072
11	0.6500797454
12	0.6480999768
13	0.6472448275
14	0.6461939862
15	0.6445075941
16	0.6435298413
17	0.6427781108
18	0.6407143537
19	0.6391218638
20	0.6383632717
21	0.6360141522
22	0.6350236907
23	0.6336480986
24	0.631875703
25	0.6302822901
26	0.62989349
27	0.6294666265
28	0.6283155763
29	0.6278525821
30	0.6274876232
31	0.6271224312
32	0.6267542257
33	0.6261073501
34	0.6257278359
35	0.625468793
36	0.6248792633
37	0.624682358
38	0.624490189
39	0.6243045158
40	0.6240062451
41	0.622706498
42	0.6224400673
43	0.6222481769
44	0.6217736361
45	0.6214916488
46	0.6213169031
47	0.6205897993
48	0.6200468267
49	0.6199165594
50	0.6197852872
51	0.6196035393
52	0.6189587064
53	0.6186456618
54	0.618480531
55	0.6183760583
56	0.6177644822
57	0.6176691501
58	0.6175702604
59	0.6171917232
60	0.6170247633
61	0.6169405861
62	0.6168332238
63	0.6161817297
64	0.6161031261
65	0.6159355039
66	0.6156836868
67	0.6156204486
68	0.6155422927
69	0.6154704528
70	0.6154087782
71	0.6152919323
72	0.6152276712
73	0.6151961607
74	0.6150715284
75	0.6149621646
76	0.6148115884
77	0.6146942009
78	0.6146213766
79	0.614411628
80	0.6143441966
81	0.6142595503
82	0.6135932528
83	0.6134866829
84	0.6134224469
85	0.6131552972
86	0.6131105756
87	0.6130687362
88	0.6130311895
89	0.6128761033
90	0.6128449522
91	0.6128052542
92	0.6127727453
93	0.6127319276
94	0.6122896704
95	0.6122565094
96	0.6122320499
97	0.612173977
98	0.6121368448
9999	0.60819109110100	0.60817121510101	0.60810124610102	0.60806238610103	0.608036721104	0.6112372566
105	0.6107041345
106	0.6106450072
107	0.6106156731
108	0.6105909039
109	0.6103826026
110	0.610348058
111	0.6103074511
112	0.6102748016
113	0.6102200689
114	0.6101888113
115	0.6097216839
116	0.6096979765
117	0.6096642255
118	0.6093291502
119	0.6093048252
120	0.6092367576
121	0.6092009455
122	0.6091784767
123	0.6091579731
124	0.6089780585
125	0.6089419735
126	0.6088946925
127	0.6088585928
128	0.6088433835
129	0.6088184609
130	0.6088027333
131	0.6087605589
132	0.6085542614
133	0.6085269832
134	0.608505064
135	0.6084740186
136	0.6084580133
137	0.6083389683
138	0.6083130056
139	0.6082987763
140	0.6082758426
141	0.6082487489
142	0.6082287289
143	0.6081901612
144	0.6081706719
145	0.6081281725
146	0.6081101157
147	0.6080983255
148	0.6080812742
149	0.6080656094
150	0.608032035
151	0.6080138174
152	0.6079934823
153	0.6079575128
154	0.6079283743
155	0.6079020081
156	0.6078717868
157	0.6078478152
158	0.6078259503
159	0.6077882782
160	0.6077700135
161	0.6077555083
162	0.607726083
163	0.6076678663
164	0.6076470912
165	0.6076346685
166	0.6076179318
167	0.6075916591
168	0.6075785443
169	0.607507905
170	0.6074901089
171	0.6074723895
172	0.6074544072
173	0.6074297452
174	0.6074102288
175	0.6073939366
176	0.6073783657
177	0.6073608374
178	0.6073424638
179	0.6073122296
180	0.6072838927
181	0.6072676709
182	0.6072502066
183	0.6072321645
184	0.6072162357
185	0.6071780635
186	0.6068777894
187	0.6068595069
188	0.6068485015
189	0.6068272946
190	0.60681527
191	0.6067853285
192	0.6067735874
193	0.6067592941
194	0.6067367616
195	0.6067231971
196	0.606706633
197	0.6066883263
198	0.6066702998
199	0.6066610677
200	0.6066285387
201	0.6066149435
202	0.6063370581
203	0.6062658708
204	0.6062503429
205	0.6062388501
206	0.6060471484
207	0.6060294465
208	0.6060129637
209	0.6059942169
210	0.605967197
211	0.6059429803
212	0.6059255815
213	0.6059046652
214	0.6058878141
215	0.605870696
216	0.6058499472
217	0.6058352446
218	0.6058203115
219	0.6058008437
220	0.6057855169
221	0.6057666341
222	0.6057440749
223	0.6057278993
224	0.605707744
225	0.6056965019
226	0.6056828615
227	0.6056668914
228	0.60543190082229	0.60541361612230	0.60540288672231	0.60538123042232	0.60536942152233	0.6053529194234	0.6015245778
235	0.6014664312
236	0.6014498559
237	0.60143288
238	0.6014027201
239	0.6013821353
240	0.6013641512
241	0.6013439494
242	0.6013283546
243	0.601312123
244	0.6012630278
245245	0.60509746246	0.6012272585
247	0.6012105501
248	0.6011614696
249	0.6011494805
250	0.6011351174
251	0.6011188028
252	0.601104897
253	0.601088268
254	0.6010695748
255	0.6010500294
256	0256	0.604884257	0257	0.604859258	0258	0.604841259	0259	0.604815260	0260	0.604803261	0261	0.604789262	0262	0.604774263	0263	0.604751264	0264	0.604726265	0265	0.604705266	0266	0.60468267	0.267	0.60466268	0.268	0.60465269	0.269	0.60463270	0.270	0.60461271	0.271	0.60460272	0.6006915335
273	0.6006578918
274	0.6006442971
275	0.6006294553
276	0.276	0.60440277	0.277	0.60439278	0.6005457747
279	0.279	0.60434280	0.280	0.60433281	0.281	0.60431282	0.6004534999
283	0.6001311309
284	0.6001133147
285	0.600096307
286	0.6000819485
287	0.287	0.60419288	0.288	0.60417289	0.289	0.60416290	0290	0.604153291	0291	0.604143292	292	0.6041249293	293	0.6041062294	294	0.6040908295295	0.60407833296296	0.60406603297297	0.60404780298298	0.60399152299299	0.60390231300	0.599830817
301	0.5998164743
302	0.5998015043
303	0.599788047
304	0.5997576575
305	0.5997397492
306	0.5997278792
307	0.5997164227
308	0.5996976058
309	0.5996759631
310	0.5996635535
311	0.5996520322
312	0.5996387522
313	0.5996216727
314	0.5996034337
315	0.5995858189
316	0.5995689122
317	0.5995531443
318	0.5995400104
319	0.5995237254
320	0.5995095747
321	0.5994980767
322	0.5994840973
323	0.5991821199
324	0.5991657079
325	0.5991521131
326	0.5991391822
327	0.5991253446
328	0.5991099267
329	0.5990807459
330	0.5990668974
331	0.5990527095
332	0.5990335383
333	0.5990168994
334	0.5990037243
335	0.598990362
336	0.5989768611
337	0.5989649332
338	0.5989494297
339	0.5989271986
340	0.5989165788
341	0.5988981953
342	0.5988840356
343	0.5988694409
344	0.5988532492
345	0.5988359013
346	0.5988213017
347	0.5988055961
348	0.5987912874
349	0.5987588917
350	0.5987458642
351	0.598728281
352	0.598710044
353	0.5986908823
354	0.5986706838
355	0.5986560384
356	0.5986422954
357	0.5986292414
358	0.59861125
359	0.5985949186
360	0.598579309
361	0.5985580633
362	0.5985408708
363	0.598525364	0364	0.598511365	0365	0.59849366	0.366	0.59845367	0.367	0.59844368	0368	0.598425369	0369	0.598408370	0370	0.598369371	0371	0.59835372	0.372	0.59834373	0.373	0.59832374	0.5992544446
375	0.5992333158
376	0.599217264
377	0.5991972217
378	0.5991729566
379	0.5991564596
380	0.5991409196
381	0.5991222462
382	0.5991046661
383	0.5990835514
384	0.5990678723
385	0.5990554963
386	0.5990377778
387	0.5990237885
388	0.5990030969
389	0.5989563436
390	0.5989383321
391	0.5989196916
392	0.5989029721
393	0.598892286
394	0.5988650586
395	0.5988482243
396	0.5988313716
397	0.5988153307
398	0.5988001523
399	0.5987901005
400	0.5987741021
401	0.5987585105
402	0.5987419072
403	0.5987254881
404	0.5987127329
405	0.5986973026
406	0.5986790249
407	0.5986622032
408	0.5986444409
409	0.5986239382
410	0.59860865
411	0.598592486
412	0.5985752644
413	0.5985564704
414	0.5985364149
415	0.5984719271
416	0.5984526653
417	0.5984340783
418	0.598422187
419	0.598405021
420	0.5983877746
421	0.5983693578
422	0.5983558819
423	0.5983403123
424	0.5983225657
425	0.5983075986
426	0.5982898298
427	0.598271088
428	0.59825186
429	0.5982365707
430	0.5982197864
431	0.5981724052
432	0.5981435712
433	0.5981235696
434	0.5981019699
435	0.5980844053
436	0.5980670178
437	0.5980071132
438	0.59798416764439	0.59797047364440	0.59794052744441	0.597906808441	0.6010514548
442	0.6010351541
